epoch,AP@[IoU=0.50:0.95|area=all|maxDets=100],AP@[IoU=0.50|area=all|maxDets=100],AP@[IoU=0.75|area=all|maxDets=100],AP@[IoU=0.50:0.95|area=small|maxDets=100],AP@[IoU=0.50:0.95|area=medium|maxDets=100],AP@[IoU=0.50:0.95|area=large|maxDets=100],AR@[IoU=0.50:0.95|area=all|maxDets=1],AR@[IoU=0.50:0.95|area=all|maxDets=10],AR@[IoU=0.50:0.95|area=all|maxDets=100],AR@[IoU=0.50:0.95|area=small|maxDets=100],AR@[IoU=0.50:0.95|area=medium|maxDets=100],AR@[IoU=0.50:0.95|area=large|maxDets=100],mean_loss,learning_rate
epoch:0 0.3908,0.5629,0.4624,0.1625,0.2016,0.3929,0.6051,0.613,0.613,0.175,0.3371,0.6157,3.0657,0.0005
epoch:1 0.4417,0.6207,0.5283,0.15,0.2581,0.4437,0.6216,0.6287,0.6287,0.175,0.3496,0.6318,2.547,0.0005
epoch:2 0.4733,0.6609,0.5676,0.25,0.2589,0.4758,0.6447,0.6521,0.6521,0.275,0.3838,0.6553,2.3974,0.0005
epoch:3 0.497,0.6898,0.5928,0.1625,0.2832,0.5,0.6575,0.6647,0.6647,0.2,0.401,0.668,2.3053,0.0005
epoch:4 0.5077,0.6972,0.6049,0.275,0.2905,0.5109,0.6686,0.6756,0.6756,0.275,0.4165,0.6792,2.2379,0.0005
epoch:5 0.5602,0.7397,0.6645,0.3,0.3335,0.5634,0.7012,0.7076,0.7076,0.325,0.4721,0.7107,2.0101,0.00015
epoch:6 0.5724,0.7552,0.6843,0.3,0.3348,0.5755,0.7069,0.7134,0.7134,0.3,0.4626,0.7164,1.949,0.00015
epoch:7 0.5799,0.7577,0.6873,0.225,0.3516,0.5827,0.7195,0.7262,0.7262,0.3,0.4996,0.7291,1.9148,0.00015
epoch:8 0.5857,0.7691,0.6977,0.2125,0.3594,0.5886,0.7199,0.7265,0.7265,0.275,0.5131,0.7291,1.9022,0.00015
epoch:9 0.5949,0.7747,0.7058,0.3,0.354,0.5979,0.7247,0.7308,0.7308,0.3,0.5033,0.7338,1.8839,0.00015
epoch:10 0.6172,0.7933,0.7271,0.3,0.389,0.62,0.7372,0.7435,0.7435,0.3,0.5275,0.746,1.7826,4.5e-05
epoch:11 0.6205,0.7984,0.7296,0.3,0.3779,0.6234,0.7387,0.745,0.745,0.3,0.5142,0.7478,1.758,4.5e-05
epoch:12 0.6242,0.8009,0.7349,0.275,0.3929,0.6269,0.7424,0.749,0.749,0.3,0.5465,0.7513,1.7461,4.5e-05
epoch:13 0.6249,0.8018,0.7364,0.2875,0.3884,0.6279,0.7421,0.7487,0.7487,0.3,0.5285,0.7513,1.7346,4.5e-05
epoch:14 0.6321,0.8087,0.7457,0.325,0.4133,0.6347,0.7433,0.7496,0.7496,0.35,0.5613,0.752,1.7246,4.5e-05
epoch:15 0.6379,0.8139,0.7511,0.3125,0.4077,0.6405,0.7504,0.7563,0.7563,0.325,0.5608,0.7587,1.6857,1.3e-05
epoch:16 0.6383,0.8154,0.7515,0.3125,0.4136,0.6409,0.7498,0.7562,0.7562,0.325,0.5883,0.7584,1.6789,1.3e-05
epoch:17 0.6398,0.816,0.7543,0.3125,0.4125,0.6427,0.752,0.7582,0.7582,0.325,0.5881,0.7605,1.6728,1.3e-05
epoch:18 0.6426,0.8184,0.7559,0.3,0.4137,0.6452,0.7528,0.7589,0.7589,0.3,0.5613,0.7614,1.6698,1.3e-05
epoch:19 0.6427,0.8198,0.7556,0.325,0.4238,0.6451,0.7526,0.7586,0.7586,0.325,0.5905,0.7607,1.6627,1.3e-05
epoch:20 0.6461,0.8215,0.7596,0.35,0.4308,0.6486,0.7558,0.7622,0.7622,0.35,0.5944,0.7643,1.6576,4e-06
epoch:21 0.6464,0.8213,0.7597,0.35,0.4208,0.6492,0.7535,0.7596,0.7596,0.35,0.5719,0.762,1.6493,4e-06
epoch:22 0.6465,0.823,0.7613,0.35,0.4241,0.6492,0.7532,0.7593,0.7593,0.35,0.5858,0.7616,1.6469,4e-06
epoch:23 0.648,0.8236,0.7619,0.35,0.4229,0.6505,0.7552,0.7613,0.7613,0.35,0.5712,0.7637,1.6448,4e-06
