               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  28,            0.024236,            0.018651,            0.024454,             0.71324,             0.63385,             0.68017,              0.5372,             0.01804,           0.0081793,            0.014141,            0.007327,            0.007327,            0.007327
                  29,            0.024164,            0.018557,            0.024429,             0.71633,             0.63242,             0.68104,             0.53806,             0.01805,           0.0081748,            0.014129,            0.007228,            0.007228,            0.007228
                  30,            0.024086,            0.018632,            0.024275,             0.71857,             0.63072,             0.68191,             0.53887,            0.018049,           0.0081724,            0.014107,            0.007129,            0.007129,            0.007129
                  31,            0.024081,            0.018519,            0.024347,             0.72247,             0.62907,             0.68286,             0.53968,            0.018041,           0.0081684,            0.014087,             0.00703,             0.00703,             0.00703
                  32,            0.024046,            0.018493,            0.024163,              0.7256,             0.62745,             0.68361,             0.54075,            0.018038,           0.0081626,            0.014061,            0.006931,            0.006931,            0.006931
                  33,             0.02398,            0.018499,            0.024125,             0.72449,             0.62996,             0.68467,             0.54189,            0.018036,           0.0081577,            0.014047,            0.006832,            0.006832,            0.006832
                  34,            0.023893,            0.018499,            0.024117,             0.72595,              0.6293,             0.68589,             0.54286,            0.018029,           0.0081522,            0.014033,            0.006733,            0.006733,            0.006733
                  35,            0.023875,            0.018481,            0.024031,             0.72643,             0.62942,             0.68677,             0.54399,            0.018023,           0.0081448,             0.01402,            0.006634,            0.006634,            0.006634
                  36,            0.023847,             0.01837,            0.024038,             0.72767,             0.62942,             0.68802,             0.54536,            0.018018,           0.0081372,            0.013988,            0.006535,            0.006535,            0.006535
                  37,            0.023741,            0.018352,            0.023965,             0.72744,             0.63072,             0.68891,             0.54656,             0.01801,           0.0081294,            0.013964,            0.006436,            0.006436,            0.006436
                  38,            0.023761,            0.018397,             0.02395,             0.72697,             0.63277,             0.69033,              0.5479,            0.017993,           0.0081233,            0.013946,            0.006337,            0.006337,            0.006337
                  39,             0.02365,            0.018345,            0.023827,             0.72732,             0.63328,             0.69164,             0.54948,            0.017981,            0.008117,            0.013915,            0.006238,            0.006238,            0.006238
                  40,            0.023653,            0.018315,            0.023698,             0.72743,             0.63307,             0.69292,              0.5508,            0.017964,           0.0081063,            0.013872,            0.006139,            0.006139,            0.006139
                  41,            0.023538,            0.018265,            0.023743,             0.72354,             0.63639,             0.69395,             0.55194,            0.017952,           0.0080978,            0.013827,             0.00604,             0.00604,             0.00604
                  42,            0.023487,            0.018189,            0.023576,             0.72305,             0.63794,             0.69515,             0.55306,            0.017932,           0.0080898,            0.013807,            0.005941,            0.005941,            0.005941
                  43,            0.023487,            0.018239,            0.023707,             0.72459,             0.63739,              0.6963,             0.55422,            0.017908,           0.0080824,            0.013767,            0.005842,            0.005842,            0.005842
                  44,            0.023464,            0.018199,            0.023478,             0.72505,             0.63849,             0.69749,             0.55568,            0.017878,           0.0080714,            0.013727,            0.005743,            0.005743,            0.005743
                  45,            0.023375,            0.018157,            0.023494,             0.72744,             0.63944,             0.69866,             0.55683,            0.017845,           0.0080612,            0.013696,            0.005644,            0.005644,            0.005644
                  46,            0.023269,            0.018098,            0.023355,             0.72696,             0.64175,             0.70004,             0.55827,            0.017812,           0.0080511,            0.013654,            0.005545,            0.005545,            0.005545
                  47,            0.023286,            0.018066,            0.023355,             0.72634,             0.64315,             0.70156,             0.55964,            0.017783,           0.0080406,             0.01362,            0.005446,            0.005446,            0.005446
                  48,            0.023221,            0.018064,            0.023267,             0.72601,             0.64427,             0.70264,               0.561,            0.017758,           0.0080318,            0.013578,            0.005347,            0.005347,            0.005347
                  49,            0.023171,            0.018009,            0.023194,             0.65885,             0.64383,             0.70419,             0.56253,            0.017728,           0.0080204,            0.013538,            0.005248,            0.005248,            0.005248
                  50,            0.023107,            0.018043,            0.023144,             0.66657,             0.64783,             0.70522,             0.56366,            0.017701,           0.0080101,              0.0135,            0.005149,            0.005149,            0.005149
                  51,            0.023076,            0.018002,            0.023058,             0.66525,             0.64758,             0.70661,             0.56526,            0.017673,           0.0079979,            0.013483,             0.00505,             0.00505,             0.00505
                  52,            0.023039,            0.017959,            0.023091,             0.67288,             0.64723,             0.70804,             0.56655,            0.017642,           0.0079867,            0.013442,            0.004951,            0.004951,            0.004951
                  53,            0.023031,            0.017919,            0.023011,             0.67541,             0.64911,             0.70914,             0.56778,            0.017614,           0.0079756,            0.013402,            0.004852,            0.004852,            0.004852
                  54,            0.022908,            0.017882,            0.022865,             0.67623,             0.64845,             0.71048,             0.56898,            0.017581,            0.007962,             0.01336,            0.004753,            0.004753,            0.004753
                  55,            0.022849,            0.017887,            0.022816,             0.68072,             0.64898,             0.71169,             0.57027,            0.017551,           0.0079486,            0.013318,            0.004654,            0.004654,            0.004654
                  56,            0.022839,            0.017858,            0.022782,             0.68085,             0.64823,             0.71284,             0.57171,            0.017522,           0.0079349,             0.01328,            0.004555,            0.004555,            0.004555
                  57,            0.022782,            0.017769,             0.02267,             0.67839,             0.65058,             0.71386,             0.57269,            0.017502,           0.0079237,            0.013248,            0.004456,            0.004456,            0.004456
                  58,            0.022751,            0.017765,            0.022689,             0.68048,             0.65069,             0.71498,             0.57387,            0.017477,           0.0079117,             0.01321,            0.004357,            0.004357,            0.004357
                  59,            0.022676,            0.017732,            0.022572,             0.68631,             0.65301,             0.71628,              0.5752,            0.017449,           0.0079001,            0.013171,            0.004258,            0.004258,            0.004258
                  60,            0.022611,            0.017701,             0.02253,             0.67575,             0.66482,             0.71764,             0.57678,            0.017427,           0.0078874,            0.013125,            0.004159,            0.004159,            0.004159
                  61,            0.022586,            0.017712,            0.022473,             0.67902,             0.66915,             0.71914,             0.57828,            0.017404,           0.0078754,            0.013084,             0.00406,             0.00406,             0.00406
                  62,            0.022497,            0.017623,            0.022365,             0.68523,             0.67092,             0.71997,             0.57938,            0.017389,           0.0078663,            0.013037,            0.003961,            0.003961,            0.003961
                  63,            0.022512,            0.017629,            0.022386,             0.69038,             0.67106,             0.72142,             0.58083,            0.017377,           0.0078557,            0.012991,            0.003862,            0.003862,            0.003862
                  64,            0.022413,            0.017581,            0.022261,             0.69291,             0.67356,             0.72274,             0.58231,            0.017357,           0.0078448,            0.012932,            0.003763,            0.003763,            0.003763
                  65,            0.022333,            0.017521,            0.022156,             0.69645,             0.67333,             0.72398,              0.5837,            0.017338,           0.0078345,            0.012901,            0.003664,            0.003664,            0.003664
                  66,            0.022298,            0.017517,            0.022052,             0.70203,              0.6702,             0.72535,             0.58489,            0.017322,           0.0078233,            0.012853,            0.003565,            0.003565,            0.003565
                  67,            0.022222,             0.01748,            0.022109,             0.70584,              0.6677,             0.72647,             0.58601,            0.017303,           0.0078141,            0.012803,            0.003466,            0.003466,            0.003466
                  68,            0.022098,             0.01742,            0.021865,             0.71232,             0.66219,             0.72758,             0.58733,            0.017279,           0.0078031,            0.012765,            0.003367,            0.003367,            0.003367
                  69,            0.022086,            0.017422,            0.021823,             0.71285,             0.66209,             0.72818,             0.58798,            0.017257,           0.0077942,            0.012721,            0.003268,            0.003268,            0.003268
                  70,            0.022018,            0.017368,            0.021777,             0.71275,             0.66147,             0.72979,             0.58956,            0.017238,           0.0077845,            0.012691,            0.003169,            0.003169,            0.003169
                  71,             0.02194,            0.017345,            0.021714,             0.71395,              0.6631,             0.73023,             0.59021,            0.017221,           0.0077761,            0.012666,             0.00307,             0.00307,             0.00307
                  72,            0.021889,            0.017317,            0.021632,             0.71725,             0.66048,             0.73143,             0.59153,            0.017207,           0.0077663,            0.012641,            0.002971,            0.002971,            0.002971
                  73,            0.021823,            0.017237,            0.021512,             0.72091,             0.66047,             0.73233,              0.5925,            0.017188,           0.0077581,            0.012602,            0.002872,            0.002872,            0.002872
                  74,            0.021736,            0.017184,            0.021495,              0.7229,             0.66241,              0.7329,             0.59318,            0.017177,           0.0077532,            0.012588,            0.002773,            0.002773,            0.002773
                  75,            0.021641,            0.017167,            0.021274,             0.72582,             0.66152,             0.73398,              0.5944,            0.017167,           0.0077445,            0.012559,            0.002674,            0.002674,            0.002674
                  76,            0.021588,            0.017108,            0.021221,             0.72503,             0.66321,             0.73486,              0.5954,            0.017148,           0.0077362,            0.012527,            0.002575,            0.002575,            0.002575
                  77,            0.021502,            0.017088,            0.021098,             0.72098,             0.66432,             0.73546,             0.59612,            0.017136,           0.0077305,            0.012506,            0.002476,            0.002476,            0.002476
                  78,            0.021447,            0.017032,            0.021084,             0.71978,             0.66449,             0.73635,              0.5971,            0.017126,           0.0077227,            0.012496,            0.002377,            0.002377,            0.002377
                  79,            0.021328,            0.016981,            0.020867,             0.71928,             0.66559,              0.7372,             0.59821,            0.017107,           0.0077143,            0.012478,            0.002278,            0.002278,            0.002278
                  80,            0.021281,            0.016962,             0.02087,             0.71957,             0.66887,              0.7379,              0.5989,             0.01709,           0.0077068,            0.012467,            0.002179,            0.002179,            0.002179
                  81,            0.021219,            0.016889,            0.020754,             0.72364,             0.66636,             0.73856,             0.59969,            0.017076,           0.0077005,            0.012448,             0.00208,             0.00208,             0.00208
                  82,            0.021125,            0.016838,            0.020628,             0.72224,             0.66903,             0.73921,             0.60066,             0.01707,           0.0076953,             0.01242,            0.001981,            0.001981,            0.001981
                  83,             0.02111,            0.016815,             0.02059,             0.72443,             0.66909,             0.73966,             0.60105,            0.017055,           0.0076886,             0.01239,            0.001882,            0.001882,            0.001882
                  84,            0.020954,            0.016734,            0.020374,             0.72133,             0.66958,             0.74016,             0.60169,             0.01704,            0.007684,            0.012359,            0.001783,            0.001783,            0.001783
                  85,            0.020855,            0.016689,            0.020293,             0.72382,             0.66996,             0.74073,             0.60244,            0.017027,           0.0076782,            0.012332,            0.001684,            0.001684,            0.001684
                  86,            0.020759,            0.016646,            0.020133,             0.72485,             0.67107,             0.74201,             0.60369,            0.017011,            0.007673,            0.012298,            0.001585,            0.001585,            0.001585
                  87,            0.020615,            0.016577,            0.019848,             0.72395,             0.67206,             0.74267,              0.6046,            0.016996,           0.0076663,            0.012274,            0.001486,            0.001486,            0.001486
                  88,            0.020494,            0.016511,            0.019781,             0.72554,             0.67226,             0.74377,             0.60578,            0.016978,           0.0076617,            0.012245,            0.001387,            0.001387,            0.001387
                  89,            0.020467,            0.016459,            0.019674,             0.72781,             0.67117,             0.74429,             0.60637,            0.016965,           0.0076596,            0.012219,            0.001288,            0.001288,            0.001288
                  90,            0.020328,            0.016361,            0.019626,             0.72722,             0.67183,             0.74504,             0.60723,            0.016948,           0.0076564,            0.012194,            0.001189,            0.001189,            0.001189
                  91,            0.020203,            0.016318,            0.019365,              0.7263,             0.67323,             0.74593,             0.60827,            0.016928,           0.0076518,            0.012148,             0.00109,             0.00109,             0.00109
                  92,            0.020099,            0.016295,            0.019209,             0.72661,             0.67545,              0.7468,             0.60943,            0.016909,           0.0076475,            0.012112,            0.000991,            0.000991,            0.000991
                  93,                0.02,            0.016185,            0.019095,             0.72898,             0.67491,             0.74787,             0.61048,            0.016897,           0.0076433,            0.012082,            0.000892,            0.000892,            0.000892
                  94,            0.019847,             0.01608,            0.018897,             0.73052,             0.67426,             0.74885,             0.61158,            0.016884,           0.0076378,             0.01204,            0.000793,            0.000793,            0.000793
                  95,            0.019764,            0.016017,            0.018766,              0.7262,             0.67779,              0.7494,             0.61238,            0.016874,           0.0076349,            0.012017,            0.000694,            0.000694,            0.000694
                  96,            0.019615,            0.015929,            0.018563,              0.7258,             0.67994,             0.75016,             0.61344,            0.016864,           0.0076293,             0.01199,            0.000595,            0.000595,            0.000595
                  97,            0.019455,            0.015827,             0.01826,             0.72678,              0.6816,             0.75066,             0.61409,            0.016855,            0.007622,            0.011962,            0.000496,            0.000496,            0.000496
                  98,            0.019284,            0.015777,            0.018213,             0.72394,              0.6856,             0.75149,             0.61518,            0.016843,           0.0076119,            0.011922,            0.000397,            0.000397,            0.000397
                  99,            0.019201,            0.015681,            0.017956,             0.72139,             0.68873,             0.75245,             0.61644,            0.016832,           0.0076005,            0.011887,            0.000298,            0.000298,            0.000298
                 100,            0.027162,            0.019845,            0.026724,             0.58784,             0.53459,             0.56968,             0.39375,            0.024519,            0.010402,            0.019616,                0.01,                0.01,                0.01
                 101,            0.024459,            0.018788,            0.024738,             0.62109,             0.61417,              0.6472,             0.48678,            0.021314,           0.0091368,            0.017942,              0.0067,              0.0067,              0.0067
                 102,             0.02413,            0.018557,             0.02421,             0.64057,             0.57908,             0.63534,             0.47827,            0.020514,           0.0093505,            0.016114,            0.006667,            0.006667,            0.006667
                 103,            0.023925,             0.01844,            0.024048,             0.64095,             0.60524,             0.65311,             0.49924,            0.019786,           0.0088615,            0.015715,            0.006634,            0.006634,            0.006634
                 104,            0.023915,            0.018409,            0.023911,             0.65898,             0.62041,             0.67221,             0.51833,            0.019333,           0.0086122,            0.015555,            0.006601,            0.006601,            0.006601
                 105,            0.023784,             0.01836,             0.02385,             0.65888,             0.62497,             0.67116,             0.51709,            0.019419,           0.0085226,            0.014965,            0.006568,            0.006568,            0.006568
                 106,            0.023765,            0.018292,            0.023795,             0.67951,             0.61872,             0.67982,             0.52798,            0.018697,           0.0084601,            0.014903,            0.006535,            0.006535,            0.006535
                 107,            0.023647,            0.018275,            0.023752,             0.68991,              0.6436,             0.69928,             0.55114,            0.018271,           0.0081984,            0.014066,            0.006502,            0.006502,            0.006502
                 108,            0.023655,            0.018239,            0.023656,             0.70057,             0.63914,             0.70051,             0.55451,            0.018026,           0.0081303,            0.013403,            0.006469,            0.006469,            0.006469
                 109,            0.023605,            0.018179,            0.023555,             0.68653,             0.64965,              0.7049,             0.56075,             0.01793,           0.0080447,            0.013454,            0.006436,            0.006436,            0.006436
                 110,            0.023567,            0.018195,            0.023554,             0.69593,              0.6649,             0.71381,             0.57022,            0.017847,           0.0079601,             0.01331,            0.006403,            0.006403,            0.006403
                 111,            0.023513,            0.018214,            0.023529,             0.70503,             0.65501,             0.71705,             0.57386,             0.01762,           0.0079281,            0.013342,             0.00637,             0.00637,             0.00637
                 112,             0.02351,            0.018127,            0.023507,             0.69872,             0.66631,             0.71818,               0.575,            0.017595,            0.007882,             0.01323,            0.006337,            0.006337,            0.006337
                 113,            0.023493,            0.018184,            0.023576,              0.7155,             0.65929,             0.72217,              0.5792,            0.017508,           0.0078456,            0.013254,            0.006304,            0.006304,            0.006304
                 114,            0.023505,            0.018183,            0.023517,             0.72067,             0.66292,             0.72477,             0.58194,            0.017428,           0.0078286,            0.013077,            0.006271,            0.006271,            0.006271
                 115,            0.023442,             0.01816,            0.023498,             0.70908,             0.66945,             0.72394,             0.58159,            0.017427,           0.0078236,            0.013032,            0.006238,            0.006238,            0.006238
                 116,            0.023434,            0.018181,            0.023488,             0.71098,             0.66888,               0.725,             0.58316,            0.017422,           0.0078052,            0.013063,            0.006205,            0.006205,            0.006205
                 117,            0.023423,             0.01822,            0.023399,             0.71028,              0.6696,             0.72537,             0.58403,            0.017398,           0.0077969,            0.013015,            0.006172,            0.006172,            0.006172
                 118,            0.023406,            0.018137,            0.023413,             0.71101,             0.66779,             0.72568,             0.58429,            0.017386,           0.0077918,            0.012954,            0.006139,            0.006139,            0.006139
                 119,            0.023399,            0.018106,            0.023352,             0.71337,             0.66677,             0.72592,             0.58505,            0.017385,           0.0077848,             0.01292,            0.006106,            0.006106,            0.006106
                 120,             0.02336,            0.018125,            0.023387,             0.71176,              0.6656,             0.72609,             0.58551,            0.017381,            0.007778,            0.012912,            0.006073,            0.006073,            0.006073
                 121,            0.023315,            0.018097,            0.023267,             0.70842,             0.66854,             0.72627,             0.58573,            0.017381,           0.0077718,            0.012937,             0.00604,             0.00604,             0.00604
                 122,             0.02329,            0.018095,            0.023281,             0.70527,             0.67102,             0.72657,             0.58613,            0.017376,           0.0077682,            0.012925,            0.006007,            0.006007,            0.006007
                 123,             0.02335,            0.018058,            0.023372,             0.70418,             0.67352,             0.72691,              0.5866,            0.017371,           0.0077656,            0.012922,            0.005974,            0.005974,            0.005974
                 124,            0.023328,            0.018082,            0.023281,             0.70652,             0.66811,             0.72689,             0.58661,            0.017355,            0.007764,            0.012915,            0.005941,            0.005941,            0.005941
                 125,            0.023322,            0.018094,            0.023324,             0.70867,             0.66986,             0.72715,             0.58713,             0.01734,           0.0077585,            0.012898,            0.005908,            0.005908,            0.005908
                 126,            0.023232,            0.018069,            0.023223,               0.709,             0.66936,              0.7273,             0.58719,            0.017328,            0.007755,            0.012903,            0.005875,            0.005875,            0.005875
                 127,            0.023319,            0.018038,            0.023261,             0.71023,             0.66872,             0.72734,             0.58714,            0.017312,           0.0077517,            0.012861,            0.005842,            0.005842,            0.005842
                 128,            0.023242,            0.018061,             0.02319,             0.70733,             0.66888,             0.72702,             0.58697,              0.0173,           0.0077489,            0.012846,            0.005809,            0.005809,            0.005809
                 129,            0.023226,            0.018001,            0.023175,             0.70507,              0.6702,             0.72734,             0.58731,            0.017288,            0.007746,            0.012844,            0.005776,            0.005776,            0.005776
                 130,            0.023167,            0.018078,            0.023084,             0.71124,             0.66458,             0.72726,             0.58705,            0.017266,           0.0077418,            0.012821,            0.005743,            0.005743,            0.005743
                 131,            0.023225,            0.018001,              0.0232,             0.70786,             0.66701,             0.72692,             0.58697,            0.017248,           0.0077392,             0.01283,             0.00571,             0.00571,             0.00571
                 132,            0.023209,            0.017998,            0.023055,             0.70744,             0.66755,             0.72687,             0.58684,            0.017239,           0.0077364,            0.012833,            0.005677,            0.005677,            0.005677
                 133,            0.023167,            0.018003,            0.023066,             0.70533,             0.66943,             0.72717,             0.58708,            0.017238,           0.0077327,            0.012833,            0.005644,            0.005644,            0.005644
                 134,            0.023135,            0.018018,            0.023113,             0.70302,             0.67065,             0.72712,             0.58729,            0.017228,           0.0077313,            0.012836,            0.005611,            0.005611,            0.005611
                 135,            0.023127,            0.018025,            0.023086,             0.70347,             0.67295,             0.72731,             0.58747,            0.017219,           0.0077303,            0.012838,            0.005578,            0.005578,            0.005578
                 136,            0.023137,            0.017937,            0.023073,             0.69755,             0.67614,             0.72739,             0.58764,            0.017215,           0.0077288,            0.012843,            0.005545,            0.005545,            0.005545
                 137,             0.02306,            0.017941,            0.023078,             0.70147,             0.67443,             0.72761,             0.58785,            0.017206,           0.0077244,            0.012838,            0.005512,            0.005512,            0.005512
                 138,            0.023097,             0.01799,            0.023039,             0.70554,              0.6742,             0.72786,             0.58819,            0.017204,           0.0077215,            0.012835,            0.005479,            0.005479,            0.005479
                 139,            0.023048,            0.017959,            0.023012,             0.70722,             0.67448,              0.7285,             0.58866,            0.017202,           0.0077187,            0.012822,            0.005446,            0.005446,            0.005446
                 140,             0.02306,            0.017946,             0.02286,             0.70657,             0.67459,             0.72922,             0.58921,            0.017192,           0.0077164,            0.012804,            0.005413,            0.005413,            0.005413
                 141,            0.022991,             0.01793,            0.023016,              0.7063,             0.67604,             0.72998,             0.58993,            0.017191,            0.007713,            0.012793,             0.00538,             0.00538,             0.00538
                 142,            0.022973,            0.017856,            0.022857,             0.71035,             0.67429,             0.73078,             0.59085,            0.017181,             0.00771,            0.012782,            0.005347,            0.005347,            0.005347
                 143,            0.023004,             0.01792,            0.022984,              0.7111,              0.6737,              0.7312,             0.59124,            0.017179,           0.0077074,            0.012764,            0.005314,            0.005314,            0.005314
