epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,0.71809,0.91554,1.1072,0.75631,0.73447,0.79465,0.68591,0.55848,0.56826,0.94852,0.005545,0.005545,0.005545
47,0.71819,0.91238,1.1081,0.75686,0.73412,0.79504,0.68678,0.55789,0.56735,0.9479,0.005446,0.005446,0.005446
48,0.71639,0.91221,1.1071,0.754,0.73724,0.79557,0.68736,0.55753,0.5663,0.94754,0.005347,0.005347,0.005347
49,0.71611,0.90848,1.1071,0.75458,0.73766,0.79608,0.68782,0.55716,0.56554,0.94729,0.005248,0.005248,0.005248
50,0.71392,0.90523,1.1057,0.75773,0.73786,0.79687,0.6885,0.55678,0.56464,0.94687,0.005149,0.005149,0.005149
51,0.71439,0.90505,1.1057,0.75931,0.7361,0.79743,0.68877,0.55647,0.56374,0.94663,0.00505,0.00505,0.00505
52,0.71201,0.90196,1.1044,0.75352,0.74501,0.798,0.68955,0.55618,0.56259,0.94636,0.004951,0.004951,0.004951
53,0.71259,0.90043,1.1041,0.75902,0.73963,0.79845,0.69017,0.55597,0.56139,0.94595,0.004852,0.004852,0.004852
54,0.71065,0.89786,1.1032,0.75786,0.74201,0.79919,0.69091,0.55575,0.56058,0.94573,0.004753,0.004753,0.004753
55,0.70812,0.89501,1.1023,0.7568,0.74358,0.79969,0.69157,0.55528,0.5598,0.94542,0.004654,0.004654,0.004654
56,0.7077,0.89244,1.1015,0.75861,0.74436,0.8,0.6921,0.5548,0.55896,0.94487,0.004555,0.004555,0.004555
57,0.70647,0.88754,1.1003,0.7606,0.74428,0.80047,0.69291,0.55444,0.55797,0.94444,0.004456,0.004456,0.004456
58,0.70525,0.88514,1.0997,0.76273,0.74326,0.80111,0.69359,0.55407,0.55689,0.94399,0.004357,0.004357,0.004357
59,0.7045,0.88362,1.0989,0.75743,0.74866,0.80173,0.69425,0.55367,0.55601,0.94357,0.004258,0.004258,0.004258
60,0.70384,0.88217,1.0985,0.75813,0.75061,0.80209,0.69487,0.55323,0.55535,0.9431,0.004159,0.004159,0.004159
61,0.70181,0.87903,1.098,0.75732,0.752,0.8022,0.69519,0.55274,0.55452,0.94264,0.00406,0.00406,0.00406
62,0.70103,0.87661,1.0972,0.75869,0.75093,0.80259,0.69544,0.55238,0.55354,0.94214,0.003961,0.003961,0.003961
63,0.69937,0.87194,1.0965,0.75841,0.75238,0.80346,0.69645,0.5519,0.55272,0.94159,0.003862,0.003862,0.003862
64,0.69776,0.86924,1.0955,0.76239,0.75061,0.80392,0.69714,0.55153,0.55183,0.94119,0.003763,0.003763,0.003763
65,0.69543,0.86641,1.0941,0.76428,0.74953,0.80447,0.69768,0.55115,0.55089,0.94081,0.003664,0.003664,0.003664
66,0.69484,0.86414,1.0934,0.7657,0.74936,0.80459,0.69822,0.55069,0.54984,0.94043,0.003565,0.003565,0.003565
67,0.69352,0.86063,1.0929,0.76369,0.7509,0.80515,0.69871,0.55022,0.54907,0.93999,0.003466,0.003466,0.003466
68,0.69165,0.85745,1.0917,0.77114,0.74447,0.80562,0.6993,0.54988,0.54828,0.93971,0.003367,0.003367,0.003367
69,0.69075,0.85352,1.0908,0.7727,0.7442,0.80601,0.69977,0.54957,0.54746,0.9394,0.003268,0.003268,0.003268
70,0.68853,0.85022,1.089,0.77365,0.74413,0.80652,0.70046,0.54943,0.54684,0.9391,0.003169,0.003169,0.003169
71,0.68692,0.84685,1.0887,0.77661,0.74142,0.80717,0.70131,0.549,0.54615,0.93866,0.00307,0.00307,0.00307
